ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
"Card Campaign","2014-01-12 05:33:22",-10000,"ENGEN TSOLAMOSESI         GABORONE      BW",DEDUCT,0384012056029314,1,P_NzUyMDI4NjRfMTM4NTM2NjE4OC44Njcy,
"Card Campaign","2014-01-12 05:33:22",-10000,"ENGEN TSOLAMOSESI         GABORONE      BW",DEDUCT,0384012056029314,1,P_NzUyMDI4NjRfMTM4NTM2NjE4OC44Njcy,
"Card Campaign","2014-01-12 05:34:25",-10000,"ENGEN TSOLAMOSESI         GABORONE      BW",DEDUCT,0584012056667274,1,P_NzUyMDI4NjRfMTM4NTM2NjE4OC44Njcy,
"Card Campaign","2014-01-12 06:26:17",-20000,"Molepolole Filli100558    Gaborone      BW",DEDUCT,0084012233581869,0,P_NzI5OTE3NjZfMTM4MTkzNjk5Mi45NTc2,
"Card Campaign","2014-01-12 06:31:50",-15000,"*SHAKAWE                  SHAKAWE       BW",DEDUCT,0464012235101611,1,P_NzUxMTk2ODNfMTM4MjA5MDM2OC40Mzky,
"Card Campaign","2014-01-12 06:50:46",-40000,"*SESARONA                 LOBATSE       BW",DEDUCT,0464012246461911,1,P_NzQ0NDQwNDBfMTM4MDgxMjU1NC4wNDY2,
"Card Campaign","2014-01-12 07:07:59",-35000,"*TONOTA                   FRANCISTOWN   BW",DEDUCT,0464012256795076,1,P_NzI2NjA4NjZfMTM3ODgwOTc5OC41NjIx,
"Card Campaign","2014-01-12 07:38:41",-5000,"*SEROWE64                 SEROWE        BW",DEDUCT,0584012275213436,1,P_NzI5NTA3MzFfMTM4NjMzMjM2Mi42NTI2,
"Card Campaign","2014-01-12 07:43:33",-12000,"Choppies Store P102220    Lobatse       BW",DEDUCT,0084012279930937,0,P_NzYzNzM1NDZfMTM3OTMzMDMxOS4xMDgz,
"Card Campaign","2014-01-12 07:50:22",-20000,"*BDF THEBEPHATSWA         MOLEPOLOLE    BW",DEDUCT,0304012282224503,1,P_NzUyODU4ODJfMTM4NjMyODY5Ni4wNzky,
"Card Campaign","2014-01-12 08:13:22",-50000,"*NORTHGATE MALL           GABORONE      BW",DEDUCT,0584012296020384,1,P_NzY1NTAxNDZfMTM4ODM5MjU4My4xMTQ3,
"Card Campaign","2014-01-12 08:16:58",-10000,"*MAHALAPYE                MAHALAPYE     BW",DEDUCT,0304012298191470,1,P_NzI5NzYzMjlfMTM3ODMwMDI2Ny40MzUy,
"Card Campaign","2014-01-12 08:22:58",-6220,"Choppies Superst102631    Lobatse       BW",DEDUCT,0284012303585533,0,P_NzI5NzYzMjlfMTM3ODMwMDI2Ny40MzUy,
"Card Campaign","2014-01-12 08:24:56",-10250,"Sunset Butchery 100343    Francistown   BW",DEDUCT,0004012304765521,0,P_NzI4Njk3MTBfMTM4MTQ5MTEwNy4wNTMy,
"Card Campaign","2014-01-12 08:25:03",-5000,"616432 WHITE CITY FILLING BOTSWANA      BW",DEDUCT,0284012159042546,0,P_NzQzMDA2NjlfMTM4OTQzODQ2NS43OTUz,
"Card Campaign","2014-01-12 08:30:17",-7795,"Choppies Hyper R100256    Lobatse       BW",DEDUCT,0284012307976679,0,P_NzIzNDk2ODZfMTM4NTY1OTU3My4yMDQ1,
"Card Campaign","2014-01-12 10:09:46",-5395,"Choppies Hyper R100256    Lobatse       BW",DEDUCT,0164012367663009,0,P_Nzc0NzIzNjlfMTM4MzkwMjg0Ny41NTIy,
